,Player,Team,Thorws,Pos.,IP,TBF,FIP-,xFIP-,tRA-,xtRA-,K-BB%,K%,BB%,FIP,xFIP,tRA,xtRA,HR/FB,DER,GB%,LD%,OFFB%,IFFB%,RSAA,投球WAR,背 番 号,年 俸,防 御 率,試 合 数,勝 利,敗 戦,投 球 回 数,勝 率,完 投,完 封,セ ｜ ブ,ホ ｜ ル ド,奪 三 振,奪 三 振 率,失 点,自 責 点,被 安 打,被 本 塁 打,与 四 球,与 死 球,与 四 球 率,Jp_Player
0,Anderson Espinoza,オ,右,SP,6.0,26,107,111,90,96,0.0,15.4,15.4,4.13,4.28,3.48,3.69,0.0,0.722,72.1,4.8,17.2,5.9,0.2,0.1,0,4500.0,1.50,1,1,0,6,1.000,0,0,0,0,4,6.00,1,1,4,0,4,0,6.00,エスピノーザ
1,Yuito Tanaka,オ,右,RP,13.7,63,113,73,121,89,14.3,20.6,6.3,4.34,2.79,4.66,3.44,13.3,0.548,53.5,10.7,31.0,4.8,-1.2,-0.1,3,250.0,5.93,12,1,2,13 2/3,.333,0,0,0,0,13,8.56,9,9,20,2,5,0,3.29,中田惟斗
2,Kazuma Satoh,オ,左,SP,42.7,166,82,90,72,82,9.0,18.7,9.6,3.14,3.46,2.76,3.14,0.0,0.748,45.9,7.0,33.4,13.7,5.2,1.1,93,270.0,1.99,9,4,2,49 2/3,.667,0,0,0,0,36,6.52,13,11,36,0,18,0,3.26,佐藤一磨
3,Kazuma Satoh,オ,左,RP,7.0,31,75,87,60,71,9.7,16.1,6.5,2.89,3.33,2.29,2.73,0.0,0.667,39.5,4.9,37.4,18.2,1.2,0.1,93,270.0,1.99,9,4,2,49 2/3,.667,0,0,0,0,36,6.52,13,11,36,0,18,0,3.26,佐藤一磨
4,Kaito Iriyama,オ,右,RP,21.0,92,83,93,89,100,8.7,19.6,10.9,3.18,3.57,3.42,3.86,0.0,0.656,39.2,11.4,38.1,11.3,1.0,0.2,32,240.0,3.00,21,2,0,21,1.000,0,0,6,0,18,7.71,8,7,20,0,10,0,4.29,入山海斗
5,Yuito Mae,オ,右,RP,21.3,85,79,73,72,69,17.6,23.5,5.9,3.04,2.82,2.75,2.64,4.2,0.702,28.1,10.4,39.0,22.4,2.6,0.3,43,600.0,2.11,21,2,1,21 1/3,.667,0,0,0,0,20,8.44,6,5,18,1,5,1,2.11,前佑囲斗
6,Seiryu Kotajima,オ,右,RP,1.0,3,90,101,31,43,0.0,0.0,0.0,3.46,3.9,1.17,1.65,0.0,1.0,33.3,0.0,33.3,33.3,0.3,0.0,97,700.0,0.00,1,0,0,1,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,古田島成龍
7,Yoshida Kosei,オ,右,RP,3.0,10,38,42,28,33,30.0,30.0,0.0,1.46,1.61,1.09,1.28,0.0,0.857,77.4,3.9,18.7,0.0,0.9,0.1,23,1600.0,0.00,3,0,0,3,.000,0,0,0,0,3,9.00,0,0,1,0,0,0,0.00,吉田輝星
8,Kaito Ohe,オ,左,RP,5.7,23,12,24,48,60,39.1,43.5,4.3,0.46,0.93,1.86,2.31,0.0,0.583,27.2,15.1,57.7,0.0,1.2,0.1,42,240.0,3.18,4,0,0,5 2/3,.000,0,0,0,0,10,15.88,2,2,5,0,1,0,1.59,大江海透
9,Yuki Udagawa,オ,右,RP,9.0,40,102,115,110,125,7.5,25.0,17.5,3.91,4.44,4.24,4.8,0.0,0.636,27.7,6.1,57.0,9.1,-0.4,0.0,14,4800.0,4.00,9,1,1,9,.500,0,0,0,0,10,10.00,4,4,8,0,7,1,7.00,宇田川優希
