,Player,Team,Thorws,Pos.,IP,TBF,FIP-,xFIP-,tRA-,xtRA-,K-BB%,K%,BB%,FIP,xFIP,tRA,xtRA,HR/FB,DER,GB%,LD%,OFFB%,IFFB%,gmLI,PF,RSAA,投球WAR,背 番 号,年 俸,防 御 率,試 合 数,勝 利,敗 戦,投 球 回 数,勝 率,完 投,完 封,セ ｜ ブ,ホ ｜ ル ド,奪 三 振,奪 三 振 率,失 点,自 責 点,被 安 打,被 本 塁 打,与 四 球,与 死 球,与 四 球 率,Jp_Player
0,Anderson Espinoza,オ,右,SP,63.7,247,76,89,82,94,14.6,21.1,6.5,2.49,2.89,2.66,3.05,1.6,0.71,47.2,11.4,34.7,6.8,0.9,0.92,4.2,1.2,0,4500.0,1.98,10,5,3,63 2/3,.625,0,0,0,0,52,7.35,14,14,51,1,16,2,2.26,エスピノーザ
1,Luis Castillo,オ,右,SP,53.3,215,80,78,81,79,17.2,20.9,3.7,2.62,2.55,2.63,2.56,5.4,0.703,52.9,7.0,35.7,4.5,0.9,0.92,3.8,1.0,54,,3.04,8,1,3,53 1/3,.250,0,0,0,0,45,7.59,20,18,45,3,8,1,1.35,カスティーヨ
2,Andres Machado,オ,右,RP,25.7,102,69,68,65,64,20.6,28.4,7.8,2.25,2.21,2.11,2.08,5.3,0.719,63.1,6.2,29.2,1.5,2.0,0.92,3.3,0.4,42,13600.0,2.45,25,2,2,25 2/3,.500,0,0,7,11,29,10.17,8,7,17,1,8,0,2.81,マチャド
3,Kazutomo Iguchi,オ,右,RP,21.3,89,91,119,104,131,6.7,14.6,7.9,2.98,3.89,3.38,4.26,0.0,0.691,35.4,9.2,47.7,7.7,1.2,0.97,-0.3,0.0,58,,3.80,20,1,2,21 1/3,.333,0,0,0,2,13,5.48,9,9,20,0,7,1,2.95,井口和朋
4,Kazuma Satoh,オ,左,RP,0.7,5,94,94,43,43,0.0,0.0,0.0,3.07,3.07,1.4,1.4,-,0.4,100.0,0.0,0.0,0.0,1.3,0.86,0.1,0.0,93,270.0,1.59,2,1,0,5 2/3,1.000,0,0,0,1,3,4.76,1,1,4,0,2,0,3.18,佐藤一磨
5,Kazuma Satoh,オ,左,SP,5.0,18,94,117,95,121,5.6,16.7,11.1,3.07,3.83,3.09,3.95,0.0,0.923,50.0,0.0,50.0,0.0,0.9,1.13,0.1,0.1,93,270.0,1.59,2,1,0,5 2/3,1.000,0,0,0,1,3,4.76,1,1,4,0,2,0,3.18,佐藤一磨
6,Seiryu Kotajima,オ,右,RP,20.0,78,99,118,106,126,5.1,19.2,14.1,3.22,3.85,3.44,4.11,0.0,0.788,28.0,16.0,40.0,16.0,1.3,0.95,-0.4,0.0,97,700.0,0.00,21,1,0,20,1.000,0,0,0,9,15,6.75,0,0,11,0,11,0,4.95,古田島成龍
7,Yoshida Kosei,オ,右,RP,16.0,75,106,131,102,124,5.3,12.0,6.7,3.45,4.27,3.31,4.03,0.0,0.655,51.8,5.4,37.5,5.4,1.2,0.94,-0.1,0.0,23,1600.0,5.06,21,0,0,16,.000,0,0,0,7,9,5.06,9,9,20,0,5,3,2.81,吉田輝星
8,Yuki Udagawa,オ,右,RP,6.0,31,125,141,143,158,3.2,29.0,25.8,4.07,4.6,4.65,5.15,0.0,0.643,41.7,16.7,41.7,0.0,1.4,0.95,-0.9,-0.1,14,4800.0,3.00,6,0,2,6,.000,0,0,0,3,9,13.50,5,2,3,0,8,0,12.00,宇田川優希
9,Hiroya Miyagi,オ,左,SP,42.3,169,58,56,54,53,24.3,27.8,3.6,1.89,1.83,1.77,1.71,5.4,0.684,50.0,8.8,32.5,8.8,0.9,1.02,7.0,1.3,13,16000.0,1.70,6,2,4,42 1/3,.333,1,0,0,0,47,9.99,9,8,37,2,6,0,1.28,宮城大弥
10,Ryoga Tomiyama,オ,左,RP,6.0,27,130,159,154,183,3.7,14.8,11.1,4.24,5.18,5.01,5.97,0.0,0.778,41.2,5.9,52.9,0.0,1.7,0.97,-1.2,-0.1,28,1600.0,1.50,11,0,0,6,.000,0,0,0,3,4,6.00,1,1,4,0,3,2,4.50,富山凌雅
11,Atsuya Kogita,オ,右,RP,13.0,46,42,59,33,49,23.9,23.9,0.0,1.38,1.91,1.06,1.6,0.0,0.714,53.1,6.3,34.4,6.3,1.3,0.93,3.2,0.4,56,3600.0,1.38,13,1,1,13,.500,0,0,0,8,11,7.62,2,2,9,0,0,0,0.00,小木田敦也
12,Shunpeita Yamashita,オ,右,SP,19.0,88,144,119,130,106,9.1,26.1,17.0,4.7,3.86,4.23,3.46,12.5,0.674,46.7,6.7,35.6,11.1,0.9,1.0,-2.1,0.0,11,4000.0,5.21,4,0,2,19,.000,0,0,0,0,23,10.89,12,11,17,2,15,2,7.11,山下舜平大
13,Nobuyoshi Yamada,オ,左,RP,19.3,78,86,107,70,90,9.0,20.5,11.5,2.81,3.5,2.28,2.93,0.0,0.788,37.3,5.9,41.2,15.7,1.0,0.93,2.1,0.3,57,4300.0,3.26,19,1,0,19 1/3,1.000,0,0,0,5,16,7.45,7,7,11,0,9,1,4.19,山田修義
14,Soichiro Yamazaki,オ,右,RP,6.7,28,117,146,130,159,-3.6,7.1,10.7,3.82,4.76,4.24,5.17,0.0,0.696,30.4,13.0,43.5,13.0,0.9,0.95,-0.7,-0.1,21,7000.0,1.35,7,0,1,6 2/3,.000,0,0,0,0,2,2.70,1,1,7,0,3,0,4.05,山﨑颯一郎
15,Yoshihisa Hirano,オ,右,RP,10.7,58,112,107,138,135,10.3,19.0,8.6,3.63,3.48,4.51,4.39,5.6,0.512,42.5,12.5,45.0,0.0,2.1,0.91,-1.5,-0.2,16,22000.0,4.22,12,1,1,10 2/3,.500,0,0,7,1,11,9.28,10,5,19,1,5,0,4.22,平野佳寿
16,Kaito Saiki,オ,右,RP,6.7,29,103,70,117,87,20.7,24.1,3.4,3.37,2.27,3.8,2.83,11.1,0.6,40.0,10.0,45.0,5.0,0.9,0.88,-0.4,0.0,95,240.0,5.40,6,0,1,6 2/3,.000,0,0,0,1,7,9.45,4,4,9,1,1,0,1.35,才木海翔
17,Ryuhei Sotani,オ,左,SP,46.0,186,62,75,76,88,19.9,25.3,5.4,2.03,2.46,2.46,2.85,1.9,0.677,46.8,9.5,41.3,2.4,0.9,0.93,4.1,1.0,17,1600.0,2.54,8,4,2,46,.667,0,0,0,0,47,9.20,15,13,41,1,10,1,1.96,曽谷龍平
18,Hitomi Honda,オ,右,RP,15.3,56,74,70,91,86,23.2,23.2,0.0,2.42,2.27,2.96,2.81,5.9,0.78,41.5,12.2,41.5,4.9,1.4,0.93,0.5,0.1,46,2200.0,1.17,15,2,0,15 1/3,1.000,0,0,0,7,13,7.63,2,2,10,1,0,1,0.00,本田仁海
19,Kohei Azuma,オ,右,SP,53.7,218,99,107,92,99,10.6,16.5,6.0,3.22,3.49,2.98,3.24,3.1,0.747,45.5,4.5,41.6,8.4,0.9,0.99,1.6,0.8,12,2400.0,2.35,9,3,3,53 2/3,.500,0,0,0,0,36,6.04,15,14,40,2,13,5,2.18,東晃平
20,Ren Mukunoki,オ,右,SP,3.0,18,104,137,115,137,5.6,5.6,0.0,3.4,4.45,3.76,4.45,0.0,0.438,50.0,12.5,31.3,6.3,0.9,1.07,-0.2,0.0,15,1400.0,12.00,1,0,1,3,.000,0,0,0,0,1,3.00,4,4,9,0,0,1,0.00,椋木蓮
21,Motoki Higa,オ,右,RP,3.3,12,67,90,78,104,8.3,25.0,16.7,2.17,2.93,2.54,3.4,0.0,0.857,14.3,14.3,57.1,14.3,0.9,0.92,0.3,0.0,35,3600.0,0.00,4,0,0,3 1/3,.000,0,0,0,0,3,8.10,0,0,1,0,2,0,5.40,比嘉幹貴
22,Daiki Tajima,オ,左,SP,44.3,199,111,107,97,94,8.0,16.6,8.5,3.61,3.48,3.18,3.07,5.7,0.644,44.2,7.5,36.1,12.2,0.9,0.88,0.4,0.5,29,9500.0,4.26,9,3,3,44 1/3,.500,0,0,0,0,33,6.70,23,21,51,3,17,0,3.45,田嶋大樹
23,Hiroshi Suzuki,オ,右,SP,3.0,10,74,80,68,75,10.0,10.0,0.0,2.4,2.61,2.21,2.44,0.0,0.778,77.8,11.1,11.1,0.0,0.9,0.99,0.3,0.1,66,1250.0,3.38,8,0,0,10 2/3,.000,0,0,0,1,8,6.75,5,4,12,2,3,0,2.53,鈴木博志
24,Hiroshi Suzuki,オ,右,RP,7.7,34,178,94,183,107,11.8,20.6,8.8,5.81,3.08,5.97,3.47,25.0,0.591,58.3,8.3,33.3,0.0,0.8,0.96,-2.3,-0.3,66,1250.0,3.38,8,0,0,10 2/3,.000,0,0,0,1,8,6.75,5,4,12,2,3,0,2.53,鈴木博志
25,Shota Abe,オ,右,RP,14.0,62,88,121,109,140,8.1,19.4,11.3,2.86,3.94,3.55,4.58,0.0,0.721,25.6,7.7,61.5,5.1,1.4,0.94,-0.4,0.0,20,6000.0,1.93,16,0,1,14,.000,0,0,0,4,12,7.71,3,3,12,0,7,0,4.50,阿部翔太
26,Taito Takashima,オ,右,SP,11.7,49,81,99,75,92,8.2,14.3,6.1,2.64,3.24,2.46,3.01,0.0,0.667,48.6,10.8,29.7,10.8,0.9,0.9,1.0,0.3,96,700.0,3.86,13,0,1,23 1/3,.000,0,0,0,4,15,5.79,12,10,24,0,7,3,2.70,高島泰都
27,Taito Takashima,オ,右,RP,11.7,54,107,132,108,131,7.4,14.8,7.4,3.5,4.31,3.51,4.26,0.0,0.667,47.2,5.6,41.7,5.6,1.1,0.97,-0.3,0.0,96,700.0,3.86,13,0,1,23 1/3,.000,0,0,0,4,15,5.79,12,10,24,0,7,3,2.70,高島泰都
28,Kyosuke Saito,オ,右,SP,19.3,79,83,105,68,89,12.7,21.5,8.9,2.71,3.43,2.21,2.89,0.0,0.811,38.0,4.0,44.0,14.0,0.9,0.98,2.3,0.5,26,600.0,0.47,4,1,0,19 1/3,1.000,0,0,0,0,17,7.91,4,1,9,0,7,2,3.26,齋藤響介
