,Player,Team,Pitch,球種,投球数,投球%,xPV,xPV/100,Grade,球速(km/h),SwStr%,Whiff%,O-Swing%,wOBAcon,xwOBAcon,GB%,FL%,IFFB%
0,戸郷 翔征,巨,右投,ストレート,570,48,3.3,0.6,62,146,7.2,13.9,25.2,.332,.331,25,58,17
1,戸郷 翔征,巨,右投,スライダー,225,19,0.6,0.3,60,129,7.6,19.5,25.2,.291,.317,45,45,9
2,戸郷 翔征,巨,右投,カーブ,52,4,-0.2,-,-,123,1.9,7.7,5.9,.766,.347,44,56,0
3,戸郷 翔征,巨,右投,フォーク,350,29,2.7,0.8,64,134,20.6,38.3,41.7,.196,.269,62,29,9
4,戸郷 翔征,巨,右投,ツーシーム,2,0,0.0,-,-,139,0.0,0.0,50.0,.000,.213,100,0,0
5,青柳 晃洋,神,右投,ストレート,255,35,0.9,0.4,57,142,5.9,12.2,19.6,.516,.342,51,45,4
6,青柳 晃洋,神,右投,スライダー,138,19,-1.4,-1.0,47,123,8.0,21.2,23.6,.244,.369,20,68,12
7,青柳 晃洋,神,右投,カットボール,40,6,-0.9,-,-,133,7.5,15.0,29.2,.000,.325,60,40,0
8,青柳 晃洋,神,右投,カーブ,4,1,0.0,-,-,108,0.0,0.0,0.0,-,-,-,-,-
9,青柳 晃洋,神,右投,シンカー,73,10,-1.2,-,-,129,5.5,19.0,14.5,.199,.271,67,33,0
10,青柳 晃洋,神,右投,ツーシーム,214,30,-1.5,-0.7,46,140,4.2,10.2,17.3,.318,.313,61,37,2
11,島本 浩也,神,左投,ストレート,92,45,-1.9,-,-,141,7.6,14.3,25.6,.313,.363,40,56,4
12,島本 浩也,神,左投,スライダー,61,30,-0.4,-,-,125,9.8,25.0,16.7,.290,.330,42,50,8
13,島本 浩也,神,左投,カーブ,5,2,-0.2,-,-,112,0.0,0.0,0.0,.870,.466,0,100,0
14,島本 浩也,神,左投,フォーク,40,20,0.4,-,-,134,15.0,25.0,52.0,.290,.254,83,17,0
15,島本 浩也,神,左投,チェンジアップ,3,1,0.0,-,-,118,33.3,50.0,0.0,.000,.223,100,0,0
16,島本 浩也,神,左投,シュート,3,1,0.0,-,-,139,0.0,-,0.0,-,-,-,-,-
17,西舘 勇陽,巨,右投,ストレート,158,48,-0.5,-0.3,35,150,11.4,25.4,20.6,.446,.381,29,67,4
18,西舘 勇陽,巨,右投,スライダー,20,6,0.3,-,-,131,15.0,60.0,25.0,.000,.220,100,0,0
19,西舘 勇陽,巨,右投,カットボール,105,32,0.5,0.5,50,140,9.5,19.2,25.5,.123,.307,60,36,4
20,西舘 勇陽,巨,右投,カーブ,32,10,-0.3,-,-,124,3.1,9.1,11.1,.268,.266,40,40,20
21,西舘 勇陽,巨,右投,フォーク,12,4,-0.5,-,-,141,0.0,0.0,10.0,.000,.209,100,0,0
22,漆原 大晟,神,右投,ストレート,148,47,-0.5,-0.3,35,146,4.7,14.9,15.5,.290,.320,62,33,5
